S;s;i;n_fo;fo_list;Avg_fo;Std_fo
17717;9687;4;20;[500266.96, 507847.09, 480848.11, 495102.52, 472760.63, 457404.21, 480432.31, 502518.07, 492861.71, 525595.81, 517851.72, 522512.16000000003, 484638.56, 472227.53, 522408.57, 525137.53, 468381.24, 487897.95, 529232.99, 481718.79];496382.223;21937.90648332173
21617;8647;4;20;[440700.34, 433681.19, 443026.71, 443624.08, 434500.6, 449322.18, 454853.34, 428326.04, 433880.36, 409388.76, 450624.86, 433987.92, 493017.39, 450972.51, 453745.47, 440677.0, 421159.89, 436497.5, 422891.3, 418176.0];439652.672;17643.737552127193
21097;12027;4;20;[436648.76, 436454.2, 470211.75, 437675.53, 457142.76, 415432.76, 489271.39, 414894.45, 428632.85, 402056.54, 397707.35, 439053.72, 408148.49, 428041.64, 438571.22, 414979.75, 435507.51, 443203.86, 450510.11, 426297.5];433522.107;22396.90063336916
18237;6567;4;20;[461030.58, 474110.26, 478009.66000000003, 478148.64, 474668.82, 538261.39, 487325.52, 490020.67, 499304.97, 482126.69, 523279.89, 482016.02999999997, 491719.55, 483590.99, 478694.88, 483917.64999999997, 538596.51, 495037.03, 494271.27, 498349.16000000003];491624.008;20388.58063308029
17977;7607;4;20;[528201.45, 479606.42000000004, 488996.12, 523627.24, 492666.94, 500549.46, 525244.5, 467072.79, 494362.36, 487572.18000000005, 511002.46, 494536.92, 490019.97000000003, 485551.23, 487209.51, 528078.31, 488869.07999999996, 462816.71, 488329.18, 502582.05000000005];496344.744;18702.31342119117
19797;8647;4;20;[474770.7, 479431.98, 504137.58, 478638.74, 539467.79, 490980.84, 503963.48, 479284.19, 452263.67, 471909.98, 499360.78, 496748.5, 470836.76, 430202.13, 502877.5, 482570.45, 463684.04, 474581.64, 486595.67, 460618.41];482146.2415;22999.28742109778
19277;12807;4;20;[443227.35, 402860.48, 440290.99, 431661.99, 419654.2, 470552.87, 420335.36, 449079.62, 444047.84, 386688.81, 398187.48, 399616.37, 419879.67, 419331.07, 422016.2, 427849.51, 437846.57, 442423.64, 406815.51, 440052.38];426120.8955;20616.477327725148
20057;10467;4;20;[447457.44, 409975.93, 463695.76, 485264.53, 448480.46, 432670.09, 477454.08, 465486.05, 494719.09, 462256.57, 452541.15, 437877.6, 510279.56, 448448.33, 432349.38, 476209.98, 504081.55, 477058.23, 455765.01, 433957.99];460801.439;26044.317853460536
22137;8387;4;20;[421936.33, 431170.55, 420714.68, 405853.29, 439075.06, 435281.78, 453686.03, 401515.82, 433993.04, 437081.25, 442045.66, 435561.46, 440135.69, 435874.36, 398561.36, 434850.06, 428921.91, 421124.69, 433306.05, 417287.94];428398.8505;14162.140296127369
22397;7607;4;20;[459644.01, 442432.87, 414656.49, 452546.6, 495775.23, 430225.38, 439365.43, 434511.0, 421235.18, 431448.34, 429518.44, 434151.52, 403469.99, 437446.16, 422388.73, 443623.22, 441247.98, 457867.7, 410594.28, 418770.75];436045.965;20501.00783153573
